"";"full_id";"gender";"stadi1";"stadi2";"stadi3";"stadi4";"stadi5";"stadi6";"stadi7";"stadi8";"stadi9";"stadi10";"stadi11";"stadi12";"stadi13";"stadi14";"stadi15";"stadi16";"stadi17";"stadi18";"stadi19";"stadi20";"rse1";"rse2";"rse3";"rse4";"rse5";"rse6";"rse7";"rse8";"rse9";"rse10";"apq26";"apq28";"apq35";"apq40";"rse2.r";"rse5.r";"rse6.r";"rse8.r";"rse9.r";"stadi3.r";"stadi7.r";"stadi11.r";"stadi15.r";"stadi19.r";"apq40.r";"depression";"angst";"selbstwert";"strafen";"negative_affect";"negative_affect_z";"selbstwert_z"
"466";2178;"Männlich";2;2;2;1;2;2;3;1;4;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;1;5;1;3;3;3;3;3;3;2;3;2;2;5;2,1;2,6;3;3,25;4,7;0,469472019906083;-1,1289118162767
"467";2179;"Weiblich";1;4;4;1;2;4;2;2;3;4;1;1;1;4;2;1;2;3;1;4;3;3;3;3;1;3;4;5;4;2;1;1;1;4;3;5;3;1;2;1;3;4;3;4;2;2,4;2,8;3,3;1,25;5,2;0,947563075270098;-0,649518353611287
"468";2180;"Männlich";2;2;4;1;1;1;3;1;1;3;2;1;1;1;3;1;1;1;3;1;5;1;5;5;1;1;5;1;1;5;1;1;1;4;5;5;5;5;5;1;2;3;2;2;2;1,5;1,4;4,6;1,25;2,9;-1,25165577940438;1,42785331793882
"469";2181;"Männlich";3;2;2;2;3;3;2;2;2;3;1;2;2;3;3;3;2;2;3;2;3;4;4;3;3;2;3;3;4;3;4;3;4;3;2;3;4;3;2;3;3;4;2;2;3;2,5;2,5;3;3,5;5;0,756326653124492;-1,1289118162767
"470";2182;"Weiblich";1;3;2;2;1;2;2;1;1;2;1;1;1;4;1;1;4;2;2;2;3;4;3;3;2;2;2;1;3;3;1;1;1;5;2;4;4;5;3;3;3;4;4;3;1;2,4;2,1;2,8;1;4,5;0,278235597760476;-1,44850745805364
"471";2183;"Männlich";2;3;4;1;2;2;4;2;2;3;2;1;2;2;4;1;1;2;4;1;5;1;4;5;1;1;4;2;1;5;3;3;5;5;5;5;5;4;5;1;1;3;1;1;1;1,3;2,1;4,5;3;3,4;-0,77356472404036;1,26805549705035
"472";2184;"Männlich";1;1;3;1;1;1;3;1;2;1;3;1;1;1;3;1;2;1;3;1;4;1;5;4;1;1;5;1;1;4;1;1;1;4;5;5;5;5;5;2;2;2;2;2;2;1,5;1,2;4,3;1,25;2,7;-1,44289220154998;0,948459855273412
"473";2185;"Männlich";1;2;1;3;2;1;2;3;2;4;2;4;2;1;2;3;1;1;2;2;2;4;4;1;4;2;3;2;1;2;3;3;3;4;2;2;4;4;5;4;3;3;3;3;2;3,1;1,7;2,7;2,75;4,8;0,565090230978886;-1,60830527894211
"474";2186;"Männlich";1;2;2;1;2;1;2;1;1;2;1;1;1;1;2;2;2;1;1;2;4;1;4;3;1;1;4;3;1;4;1;1;1;5;5;5;5;3;5;3;3;4;3;4;1;2,4;1,4;4,2;1;3,8;-0,391091879749148;0,788662034384943
"475";2187;"Männlich";2;2;4;1;2;2;3;1;1;2;3;1;1;2;3;1;1;2;3;2;4;2;3;4;2;2;5;2;1;5;1;3;1;5;4;4;4;4;5;1;2;2;2;2;1;1,5;1,7;4;1,5;3,2;-0,964801146185967;0,469066392608003
