"";"full_id";"gender";"stadi1";"stadi5";"stadi9";"stadi13";"stadi17";"aqf1";"aqf2";"aqf3";"aqf4";"aqf5";"aqf6";"aqf7";"aqf8";"apq26";"apq28";"apq35";"apq40";"apq40.r";"emotionality";"hostility";"punishment";"emotionality_z";"hostility_z"
"331";2035;"Männlich";2;3;3;3;1;3;3;2;1;4;2;3;2;1;1;1;5;1;"2.4";"2.5";"1";0,435767343658635;0,54486478395053
"332";2036;"Männlich";2;2;2;2;2;1;3;4;3;4;3;4;1;1;1;1;2;4;"2";"2.875";"1.75";-0,239447143904715;1,13638096605154
"333";2038;"Männlich";3;3;2;3;3;3;4;3;4;3;4;3;4;4;3;5;3;3;"2.8";"3.5";"3.75";1,11098183122199;2,12224126955321
"334";2039;"Weiblich";2;3;1;2;2;4;1;3;3;1;2;4;2;1;2;1;1;5;"2";"2.5";"2.25";-0,239447143904715;0,54486478395053
"335";2040;"Männlich";2;2;2;1;1;1;3;1;2;3;3;3;2;2;2;2;1;5;"1.6";"2.25";"2.75";-0,914661631468065;0,15052066254986
"336";2041;"Weiblich";2;2;3;3;2;3;2;3;2;3;2;3;2;4;3;2;2;4;"2.4";"2.5";"3.25";0,435767343658635;0,54486478395053
"337";2042;"Männlich";2;2;1;2;2;1;2;2;1;2;1;2;1;3;3;3;3;3;"1.8";"1.5";"3";-0,57705438768639;-1,03251170165215
"338";2043;"Männlich";3;4;3;4;3;2;3;2;3;4;3;3;2;4;2;3;2;4;"3.4";"2.75";"3.25";2,12380356256701;0,9392089053512
"339";2044;"Weiblich";3;2;1;1;2;2;2;2;2;2;2;2;2;3;2;3;4;2;"1.8";"2";"2.5";-0,57705438768639;-0,24382345885081
"340";2045;"Weiblich";1;1;2;1;2;1;3;3;1;1;1;1;1;1;1;1;5;1;"1.4";"1.5";"1";-1,25226887524974;-1,03251170165215
"341";2046;"Weiblich";2;2;2;1;2;2;4;3;1;2;1;2;1;1;1;2;4;2;"1.8";"2";"1.5";-0,57705438768639;-0,24382345885081
"342";2047;"Männlich";4;2;2;2;2;4;4;4;3;3;4;3;4;5;5;5;5;1;"2.4";"3.625";"4";0,435767343658635;2,31941333025355
"343";2048;"Männlich";3;2;2;3;2;2;3;4;4;3;4;3;3;1;1;1;4;2;"2.4";"3.25";"1.25";0,435767343658635;1,72789714815254
"344";2050;"Männlich";1;2;1;1;1;1;4;1;1;1;1;2;1;3;2;2;3;3;"1.2";"1.5";"2.5";-1,58987611903142;-1,03251170165215
"345";2051;"Weiblich";2;2;3;3;2;3;2;2;3;3;3;3;3;1;1;1;5;1;"2.4";"2.75";"1";0,435767343658635;0,9392089053512
"346";2053;"Weiblich";2;2;1;2;3;1;3;2;1;1;3;3;1;1;1;1;5;1;"2";"1.875";"1";-0,239447143904715;-0,440995519551146
"347";2054;"Weiblich";4;4;2;4;2;3;3;3;4;3;3;3;2;1;1;1;5;1;"3.2";"3";"1";1,78619631878534;1,33355302675187
"348";2055;"Männlich";2;2;2;2;2;1;2;2;1;2;1;2;1;1;1;1;5;1;"2";"1.5";"1";-0,239447143904715;-1,03251170165215
"349";2056;"Männlich";4;3;3;4;4;4;4;3;4;4;3;4;4;5;5;5;5;1;"3.6";"3.75";"4";2,46141080634869;2,51658539095388
"350";2057;"Weiblich";3;4;2;3;3;4;4;4;3;4;4;4;4;1;1;1;5;1;"3";"3.875";"1";1,44858907500366;2,71375745165422
"351";2058;"Weiblich";3;4;2;4;3;3;2;3;3;3;4;4;3;1;1;1;5;1;"3.2";"3.125";"1";1,78619631878534;1,53072508745221
"352";2059;"Weiblich";2;2;2;2;3;1;3;3;2;3;4;3;1;1;1;1;5;1;"2.2";"2.5";"1";0,0981600998769604;0,54486478395053
"353";2060;"Weiblich";3;2;2;1;2;3;4;4;2;4;4;4;1;1;1;1;5;1;"2";"3.25";"1";-0,239447143904715;1,72789714815254
"354";2061;"Männlich";2;2;2;2;1;2;2;1;1;2;1;2;2;1;1;1;5;1;"1.8";"1.625";"1";-0,57705438768639;-0,835339640951816
"355";2062;"Weiblich";3;2;2;2;2;1;2;3;3;3;2;2;2;1;1;1;4;2;"2.2";"2.25";"1.25";0,0981600998769604;0,15052066254986
"356";2063;"Männlich";2;2;2;3;2;3;3;2;1;3;1;1;1;1;1;1;4;2;"2.2";"1.875";"1.25";0,0981600998769604;-0,440995519551146
"357";2064;"Weiblich";4;4;2;3;3;3;2;4;3;4;4;3;2;4;5;4;3;3;"3.2";"3.125";"4";1,78619631878534;1,53072508745221
"358";2065;"Männlich";3;4;2;2;3;3;3;4;2;2;3;4;3;4;5;3;4;2;"2.8";"3";"3.5";1,11098183122199;1,33355302675187
"359";2066;"Weiblich";3;1;1;3;1;3;2;2;3;2;2;3;2;2;2;3;3;3;"1.8";"2.375";"2.5";-0,57705438768639;0,347692723250195
"360";2067;"Weiblich";1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;4;5;1;"1.2";"1.375";"1.75";-1,58987611903142;-1,22968376235249
"361";2068;"Weiblich";2;2;2;2;1;1;2;3;1;3;2;2;2;2;2;2;4;2;"1.8";"2";"2";-0,57705438768639;-0,24382345885081
"362";2069;"Männlich";2;1;2;1;1;1;1;1;1;3;1;4;1;1;2;1;4;2;"1.4";"1.625";"1.5";-1,25226887524974;-0,835339640951816
"363";2070;"Weiblich";2;2;2;2;1;1;2;2;1;2;1;2;1;1;1;1;4;2;"1.8";"1.5";"1.25";-0,57705438768639;-1,03251170165215
"364";2071;"Weiblich";3;3;2;3;2;1;1;1;1;1;1;1;1;1;1;1;5;1;"2.6";"1";"1";0,77337458744031;-1,82119994445349
"365";2072;"Weiblich";3;2;2;3;3;4;4;4;3;2;4;2;2;2;2;3;3;3;"2.6";"3.125";"2.5";0,77337458744031;1,53072508745221
"366";2073;"Männlich";4;3;4;3;3;4;4;3;4;3;4;3;4;4;3;3;3;3;"3.4";"3.625";"3.25";2,12380356256701;2,31941333025355
"367";2074;"Männlich";2;1;2;1;1;2;2;2;1;1;1;1;1;1;1;3;3;3;"1.4";"1.375";"2";-1,25226887524974;-1,22968376235249
"368";2075;"Männlich";2;2;3;2;3;1;3;2;1;4;3;1;1;4;2;4;3;3;"2.4";"2";"3.25";0,435767343658635;-0,24382345885081
"369";2076;"Männlich";1;2;2;2;2;2;2;3;1;2;2;3;2;4;5;2;3;3;"1.8";"2.125";"3.5";-0,57705438768639;-0,0466513981504753
"370";2078;"Männlich";1;1;2;1;1;1;2;2;1;3;1;2;1;1;1;1;3;3;"1.2";"1.625";"1.5";-1,58987611903142;-0,835339640951816
"371";2079;"Weiblich";3;3;2;4;3;2;2;2;1;3;3;3;3;5;1;1;5;1;"3";"2.375";"2";1,44858907500366;0,347692723250195
"372";2080;"Weiblich";3;3;2;1;2;1;3;1;3;3;2;2;1;2;1;2;3;3;"2.2";"2";"2";0,0981600998769604;-0,24382345885081
"373";2081;"Männlich";2;2;2;2;1;4;4;2;3;2;2;2;2;3;4;5;4;2;"1.8";"2.625";"3.5";-0,57705438768639;0,742036844650865
"374";2082;"Weiblich";3;2;2;2;2;1;2;1;1;1;1;1;1;1;1;1;5;1;"2.2";"1.125";"1";0,0981600998769604;-1,62402788375316
"375";2083;"Männlich";3;2;2;2;1;3;4;1;3;1;3;4;1;4;3;3;1;5;"2";"2.5";"3.75";-0,239447143904715;0,54486478395053
"376";2084;"Männlich";4;3;2;3;3;2;4;4;3;3;4;4;4;1;5;5;3;3;"3";"3.5";"3.5";1,44858907500366;2,12224126955321
"377";2085;"Weiblich";2;3;3;2;2;3;3;2;2;3;3;2;2;3;1;3;4;2;"2.4";"2.5";"2.25";0,435767343658635;0,54486478395053
